order_date,region,channel,product_line,plan_tier,revenue_usd,cost_usd,orders
2026-01-11,APAC,Partner,AddOn,1,16301.8,13237.19,9
2026-01-12,EU,Marketplace,Services,0,61065.59,39285.66,14
2026-01-13,APAC,Partner,Core,1,276634.58,171174.58,65
2026-01-14,LATAM,Direct,Premium,1,54980.14,40099.44,35
2026-01-15,APAC,Marketplace,Services,0,322393.4,221459.47,54
2026-01-16,LATAM,Partner,AddOn,1,80608.89,53485.65,43
2026-01-17,LATAM,Marketplace,Premium,1,135434.22,74503.67,33
2026-01-18,APAC,Direct,AddOn,1,131034.24,95972.01,37
2026-01-19,LATAM,Marketplace,Premium,0,102229.29,73696.48,26
2026-01-20,APAC,Direct,Premium,1,120445.23,71036.86,22
2026-01-21,US,Direct,AddOn,0,125671.88,90488.36,37
2026-01-22,EU,Marketplace,AddOn,1,82272.88,59823.55,33
2026-01-23,US,Direct,AddOn,0,103773.86,76574.33,19
2026-01-24,LATAM,Direct,Premium,0,70547.8,47651.77,37
2026-01-25,APAC,Partner,AddOn,1,132829.9,103953.16,65
2026-01-26,LATAM,Partner,Premium,1,303335.57,206523.35,57
2026-01-27,EU,Partner,AddOn,0,143861.04,89677.66,53
2026-01-28,APAC,Marketplace,Core,0,41236.66,30406.53,17
2026-01-29,EU,Direct,AddOn,1,118199.33,78278.58,29
2026-01-30,EU,Partner,AddOn,0,363783.78,256626.32,62
2026-01-31,LATAM,Direct,Services,1,182948.04,144664.92,56
2026-02-01,LATAM,Marketplace,Premium,1,58224.26,39657.9,22
2026-02-02,LATAM,Partner,AddOn,0,224307.24,131098.5,61
2026-02-03,US,Partner,Core,0,170110.74,133375.3,49
2026-02-04,EU,Direct,Services,1,65010.39,41492.78,28
2026-02-05,LATAM,Partner,AddOn,1,99680.29,55345.84,61
2026-02-06,US,Partner,Premium,0,357595.98,200564.75,57
2026-02-07,US,Direct,Premium,0,94358.44,55112.85,47
2026-02-08,US,Marketplace,Premium,1,133020.76,86410.51,52
2026-02-09,US,Direct,Services,0,60124.3,38132.54,45
2026-02-10,LATAM,Partner,Premium,0,218711.54,157331.34,45
2026-02-11,US,Marketplace,Services,0,372033.75,283233.59,58
2026-02-12,APAC,Marketplace,AddOn,1,46579.11,29909.96,12
2026-02-13,LATAM,Partner,Core,1,141626.63,109583.74,31
2026-02-14,EU,Partner,Premium,1,257722.43,179196.13,47
2026-01-01,LATAM,Partner,AddOn,1,159994.23,123883.11,28
2026-01-02,US,Partner,AddOn,0,205125.47,146621.54,56
2026-01-03,LATAM,Partner,Core,1,181199.66,123512.66,62
2026-01-04,APAC,Partner,Services,1,279015.78,219760.92,64
2026-01-05,US,Marketplace,Premium,0,115377.1,78677.49,23
2026-01-06,EU,Marketplace,AddOn,1,194491.59,111856.86,36
2026-01-07,EU,Partner,Premium,1,214112.23,145121.06,50
2026-01-08,APAC,Partner,Services,1,187452.19,118617.54,52
2026-01-09,EU,Direct,Premium,1,77059.04,62166.37,15
2026-01-10,EU,Direct,Premium,1,126007.51,102530.28,25
